fecha,url,titulo,descripcion,miniatura_url,categorias
2025-08-13 18:38:21,https://www.facebook.com/reel/1151701566783234,"mil reproducciones · , mil reacciones | Share this with someone ready to move and feel better. These mobility drills are built to unlock essential movement patterns, so you can move stronger, more freely, and with better control throughout the day. . Hip Circles – improves control and mobility through the hips . Groin + T Spine Opener – opens the groin while introducing rotation to the spine . Horse Stance + Twist – opens the hips and targets the adductors . Figure Bridge + Twist – targets the glutes, hips, and back . Shoulder Dislocates – improves shoulder mobility and improves posture Your body thrives on movement. Repeat this routine – times (about minutes total) daily to boost your mobility, flexibility, and strength in all the right places. | Proformance","Share this with someone ready to move and feel better. These mobility drills are built to unlock essential movement patterns, so you can move stronger, more freely, and with better control...",https://scontent.fgdl9-1.fna.fbcdn.net/v/t51.71878-15/528239431_1455655318805634_4840932731990493610_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=a27664&_nc_ohc=Mt39SWcXlKwQ7kNvwGxxxfG&_nc_oc=AdkmRiVjPs-TFTnlgfc5Ibq_aE1RfyXZ_5LP7Fc7dX4HvcTopLHseBHCIrX3Bv2OfhdozLjoz3BeO8N4Zu_KtqQm&_nc_zt=23&_nc_ht=scontent.fgdl9-1.fna&_nc_gid=Lzy8J8kUsoI92M7vwKN1ZA&oh=00_AfXyS6zxTbn8h7a6z9BITiDKPMJ1nc7bnmejMtPYD5aKtg&oe=68A3140D,Movilidad
2025-08-13 18:43:45,https://www.facebook.com/reel/2033501130761732,", mil reacciones · veces compartido | I tore my ACL for the third time last year and now my knees are stronger than ever before If I was able to come back without an ACL at all, then there is absolutely no reason why you can’t too. COMMENT “REPAIR” to start fixing your knees today | Josh Gutowski","I tore my ACL for the third time last year and now my knees are stronger than ever before If I was able to come back without an ACL at all, then there is absolutely no reason why you can’t too....",https://scontent.fgdl9-1.fna.fbcdn.net/v/t51.75761-15/499155741_17882861070289485_5101498683235262375_n.jpg?stp=c0.92.360.360a_dst-jpg_s851x315_tt6&_nc_cat=107&ccb=1-7&_nc_sid=f6dce5&_nc_ohc=yt6nqxA0mwUQ7kNvwHu6l4d&_nc_oc=AdlML0xsUsnXIq_V8IqQ9rDw-yWCJg4ij38VTwSSBtcbzjXbbP1zKPFXfI5bQ2D3ZyjIhF7ChbBUocjYJBlPpn_6&_nc_zt=23&_nc_ht=scontent.fgdl9-1.fna&_nc_gid=9PZdUu1j-O62QtNvI9XdKg&oh=00_AfXi0_tZnE3Z_uJPrBkW8XPw24znTLAxLS0ClwTNEpbjOA&oe=68A31373,Rodilla
2025-08-13 18:44:04,https://www.facebook.com/reel/634928595868412,mil reproducciones · mil reacciones | ASÍ PUEDES EMPEZAR¡¡¡ | Pedro Mier Arce,ASÍ PUEDES EMPEZAR¡¡¡.,https://scontent.fgdl9-1.fna.fbcdn.net/v/t51.71878-15/530970485_1086115063663553_5095717817655651160_n.jpg?_nc_cat=1&ccb=1-7&_nc_sid=a27664&_nc_ohc=xiv0jmUENnAQ7kNvwEQ945Z&_nc_oc=AdkKIONhmjMjk36Ww3tVRDgzMfLW_CdftBTtG9TVHngS4mMITzh2inE7dJ1yBFC2WP_JOrlZ7FZNt-Gu511LenaG&_nc_zt=23&_nc_ht=scontent.fgdl9-1.fna&_nc_gid=pFb2owDCm6R3bWaWaVsAjA&oh=00_AfUwi5W5ZkOddtSAo39Kfmu1eD621tP1egf86LEpR4IBNQ&oe=68A2EA74,Entrenamiento
2025-08-13 18:46:03,https://www.facebook.com/reel/753949977273029,"mil reproducciones · , mil reacciones | Comment “CHRONIC” and I’ll send you my program with exercises that I just talked about! | Dr. Claire Bowes",Comment “CHRONIC” and I’ll send you my program with exercises that I just talked about! .,https://scontent.fgdl9-1.fna.fbcdn.net/v/t51.82787-15/529021140_17906549001215210_412226521442988405_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=a27664&_nc_ohc=3Z-syh6-JPIQ7kNvwGy_TMS&_nc_oc=AdkzX8fxmZ-tP6J_jgIRrUPI_RHlKC2CaFlC3QSdCjW0BoZMS4qMjwgRyY1y7m_-QuJDOgZQI7O4ImuYKe5UazyQ&_nc_zt=23&_nc_ht=scontent.fgdl9-1.fna&_nc_gid=H9U6ykqrIPsJmkGOWK7CEg&oh=00_AfVKLzbFx17uizLWM2UsMkkcRLohQ_e42YX1T3NUmExkyQ&oe=68A3198F,Rodilla
2025-08-13 18:46:38,https://www.facebook.com/reel/1041374671259831,mil reproducciones · mil reacciones | ​​Whop pays me for Instagram views. Comment “W” to start printing 🫡 | Kevin Dang,​​Whop pays me for Instagram views. Comment “W” to start printing 🫡 .,https://scontent.fgdl9-1.fna.fbcdn.net/v/t51.75761-15/499723713_18497170612063836_1421762729984860344_n.jpg?stp=c0.185.720.720a_dst-jpg_s851x315_tt6&_nc_cat=107&ccb=1-7&_nc_sid=f6dce5&_nc_ohc=Qe-vGt3YxT4Q7kNvwFroRlE&_nc_oc=AdmOg2smCMkCQumOIpnZJj5JprE3JLaepKZJP4a2ofRjNMs8w2tXcR0Ex8eBdCbZwcAmvLD3mOLMvnNIjWxYQdBH&_nc_zt=23&_nc_ht=scontent.fgdl9-1.fna&_nc_gid=Uo--gV35fwHPUEh4eWqNaA&oh=00_AfUHmHjqTGQwqmHrSezTkaUZ41M2nUyWPlMmkol-x7zNDA&oe=68A30E44,Negocio
2025-08-13 18:47:02,https://www.facebook.com/share/r/16dq9hinqE/,", mill. reproducciones · mil reacciones | Try these! Say goodbye to stiff hips😁 | Alex Libin",Try these! Say goodbye to stiff hips😁 .,https://scontent.fgdl9-1.fna.fbcdn.net/v/t51.82787-15/517974015_18519887122034086_2640448355121614661_n.jpg?_nc_cat=1&ccb=1-7&_nc_sid=a27664&_nc_ohc=NaFYkJYGG0cQ7kNvwFnZVO1&_nc_oc=Adnk5fQTR_HMGGSRhnwZh4UbUWs9qTR0cdXieKw8xCy27j0LlGYIwCirgh5CKYmk4KqdZ97CNO6_OI-uW2SZiASJ&_nc_zt=23&_nc_ht=scontent.fgdl9-1.fna&_nc_gid=Wfjx7IrEyVQoTGaVTJNQYA&oh=00_AfUpDGFeicLZM5cz1aXCaSpTnIxeuQG6yluFc0ieVN45Vg&oe=68A300BC,Movilidad
2025-08-13 18:49:21,https://www.facebook.com/reel/671120972410258,"mil reproducciones · , mil reacciones | HOW TO GET SHREDDED FOR SUMMER💪 | Gennofit Home Workouts",HOW TO GET SHREDDED FOR SUMMER💪.,https://scontent.fgdl9-1.fna.fbcdn.net/v/t15.5256-10/503066243_715657700955045_3062752268218222854_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=596eb7&_nc_ohc=JmAXxL-fg3gQ7kNvwEg4VJA&_nc_oc=AdnjJCaFtYoIP_gMDWu1dZDj9LOjueCyDMQqMiIuUsfjrq1KdGF6FMYu25E_9Z5LzqAr3uA4Kj0PAknaQQmtShWp&_nc_zt=23&_nc_ht=scontent.fgdl9-1.fna&_nc_gid=EtvPfY1u2VVSpVECJqbpKQ&oh=00_AfXP4xcFtvketaZv5xN50tpMbCl4W4tiDOUYujyto3RpIw&oe=68A3166A,Entrenamiento
2025-08-13 18:49:43,https://www.facebook.com/share/r/16irqC7M4F/,mill. reproducciones · mil reacciones | *Hold each stretch for sec minimum | Alex Libin,*Hold each stretch for sec minimum .,https://scontent.fgdl9-1.fna.fbcdn.net/v/t51.82787-15/522402318_18522018883034086_1817232709298317348_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=a27664&_nc_ohc=Ut8T0xg2Nn4Q7kNvwH-DiYd&_nc_oc=AdmyGAouxsekf82YhBgx5HsvAIlFndFJUv9y696EROwQj6lq0lqoUfBVMZ-8PFJZ970lIAQJo1U1nJFmEF60E46W&_nc_zt=23&_nc_ht=scontent.fgdl9-1.fna&_nc_gid=PPytU2HxVBZ6QPFVT4qKrw&oh=00_AfVktqvZG3aFd0dy6ek2Vlqhwfc7T5djP7clMli8U0GZ6Q&oe=68A306F2,Movilidad
2025-08-13 18:50:00,https://www.facebook.com/reel/1057098116302256,"mil reproducciones · , mil reacciones | FIX YOUR TIGHT ANKLES 🔵 Bent Knee Calf Raise – reps/side 🔵 Dorsiflexion Mobilization – reps ➡️ -min hold 🔵 Heel-Elevated Squat Iso – -min hold Do this x/week to improve squat depth, ankle mobility, and reduce joint stress. | Tailoredfitpt","FIX YOUR TIGHT ANKLES 🔵 Bent Knee Calf Raise – reps/side 🔵 Dorsiflexion Mobilization – reps ➡️ -min hold 🔵 Heel-Elevated Squat Iso – -min hold Do this x/week to improve squat depth, ankle...",https://scontent.fgdl9-1.fna.fbcdn.net/v/t51.71878-15/499406831_1647647842557875_3286933448930743988_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=a27664&_nc_ohc=yNSgjJosxoEQ7kNvwErnzj5&_nc_oc=AdkzYSnCVUCe5V7VQS6Rxu_xV_Wxt8-S-Oc67eRKiovyu4CEqVqTQIy7aHr4rPgsUDdTESmjDIQ9zpEhZifwKUSI&_nc_zt=23&_nc_ht=scontent.fgdl9-1.fna&_nc_gid=wSdiVCHirusqCacvMhmyIw&oh=00_AfU3L3h-OymKDcPSWSTLSMMk7Pb-8kjJWn_-1WTtSZDm1Q&oe=68A30011,Movilidad
2025-08-13 18:50:30,https://www.facebook.com/reel/751204787480823,3 moves to heal your knees,"patrick step, bent knee calf raise, walk backwards",https://scontent.fgdl9-1.fna.fbcdn.net/v/t51.71878-15/503041527_1036101475160968_6940454885193215255_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=d705dd&_nc_ohc=B0sfLthevOAQ7kNvwGNT2VG&_nc_oc=AdkZ-OGwNLgUH6XZ2KE3lwYUpWgV_yzVDbeddZDEQy_gSeppBPXQYJoPDqvyLEC4m-9h761-XEV4pfrC2cqMLkPA&_nc_zt=23&_nc_ht=scontent.fgdl9-1.fna&_nc_gid=pfTqrEgDNtxA23tdp7j7mQ&oh=00_AfVY1rWfrYlxg5LzlkEbdxk1Ayk4YQN_qXQS8ezDtJc3Dg&oe=68A2FB4C,Rodilla
2025-08-13 18:51:35,https://www.facebook.com/reel/1953275855511358,", mil reacciones · veces compartido | Comment “BEGIN” and I’ll send you a free pass for my programs & community 🤗 🪑 Sitting too much? These moves will undo the tension: ️⃣ Passive Hang • Grab a bar and let your body hang... • You’ll decompress your spine and create space in your shoulders ️⃣ Split Squat Leans • Drop into a deep split squat and gently lean forward... • You’ll open up your hip flexors that have been folded into a chair all day ️⃣ Seated Pec Stretch • Sit on the floor, externally rotate your arms, and lift your chest... • You’ll relieve deep tension in your chest, shoulders, and sternum ️⃣ Pigeon Extension • Sit into pigeon, then lift and reach your chest forward... • You’ll release tightness from your lower back and hips ✨ Don’t overthink it... just do these daily and let your body reset. 🫂 Share this with your friends and family~ | Strong & Mobile",Comment “BEGIN” and I’ll send you a free pass for my programs & community 🤗 🪑 Sitting too much? These moves will undo the tension: ️⃣ Passive Hang • Grab a bar and let your body hang... •...,https://scontent.fgdl9-1.fna.fbcdn.net/v/t51.82787-15/527283208_17976443669884101_8815029438177182600_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=a27664&_nc_ohc=HmHYH4dxVocQ7kNvwF3mHSn&_nc_oc=Adm0bpYSe2rPnkD1TjVlPHRP1IgHQY4OTddcHjyOYuQniPvnT_0zzyVpY_pkpGOFfiu_10P1bS8XyFx3cVz7IpKO&_nc_zt=23&_nc_ht=scontent.fgdl9-1.fna&_nc_gid=C9VonBh-mpJiyJUrKI4SPg&oh=00_AfXb61YPNhQfEIaNTkyG3ierss9N9Ti7ZDH2qxioJczqBA&oe=68A30700,Movilidad
2025-08-13 18:51:49,https://www.facebook.com/reel/635538232916555,"mil reproducciones · , mil reacciones | Comment “HOME” for the full home program🏡 | Gennofit Home Workouts",Comment “HOME” for the full home program🏡.,https://scontent.fgdl9-1.fna.fbcdn.net/v/t15.5256-10/528035157_635538262916552_6889408096561408675_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=596eb7&_nc_ohc=9TkE2OyCNp4Q7kNvwGzGk8v&_nc_oc=Adm1Wb76LIJKFaiFSbpWJXVocCPmguw1FIAHhfBxis8Tmi7Bj0QfFMCJmWuoQQNI3eACurpzxTPtvD2DApjN3VgH&_nc_zt=23&_nc_ht=scontent.fgdl9-1.fna&_nc_gid=ZXSYq01LDaw7yhm3-mSE0A&oh=00_AfVNtbLQFY5Zm8u07EbHigU0cGucEgF3huZ2w95czJaqbA&oe=68A31F99,Entrenamiento
